ID,Name,Instructions,PrepTime,CookTime,Servings
16,Crispy Chickpea Tacos ,"""1. Toss chickpeas in oil and your choice of seasonings. Place on baking sheet and bake in oven at 350 degrees for 20 minutes. 
2. In the meantime, dice the bell peppers and onions, finely chop the garlic, and saute on medium-heat with oil and seasonings until softened. 
3. To make a quick guacamole, mash up some avocado and mix with a squeeze of lime juice, some chili powder, some diced onion, and salt and pepper. 
4. When the chickpeas are almost done, heat up your tortillas. Finely chop the cilantro.
5. Assembly time: top each tortilla with the pepper mixture, the chickpeas, the guac, and a squeeze of lime. Top with cilantro and sour cream if desired. """,5,20,1
17,"Baked white fish with tomatoes, garlic, parsley and lemon","""- Set your oven for about 400 F - Dry your white fish with paper towels and season with salt and pepper. - Place in the baking dish, add butter, few slices of lemon, a couple of garlic cloves and fresh parsley
- Place in the oven for 10 min
- Add cherry tomatoes (as many as you like) I love them 
- Put back in the oven for another 10-15 min until the fish is flaky and tomatoes bursting

Enjoy!!!""",0,30,1
18,Organic basil garlic pistachio pesto  ,"""Combine the basil, garlic, and pistachio Nuts in a food processor and pulse until coarsely chopped. 
Add 2/3 cup of the oil and process until fully incorporated and smooth. 
Season with salt and pepper. 
Mix in the cheese and serve. 
I don’t put cheese in it since I’m Vegan. 

I have added violife vegan Parmesan cheese on top at times! 

Enjoy Mixed in pasta or with warm bread as a dip! 
""",0,5,3
19,Crispy Sweet Potato Fries,"""1. Peel and cut your sweet potato into long strands that are about 1/4-1/2 inch wide
2. Arrange on a baking sheet 
3. Drizzle with olive oil
4. Combine seasonings of your choice into a small bowl, mix and spread evenly on baking sheet
5. Preheat oven to 400 degrees
6. Bake for 15 mins, turn fries over to the other side and bake for another 10 minutes
7. Serve when hot and with any condiments of your choice """,10,30,1
20,Vegan pancakes,"""1. Combine dry ingredients and sift
2. Mix wet ingredients in a small bowl
3. Add wet ingredients to dry ingredients slowly by pouring a little at a time
4. Heat griddle to low-medium and spray cooking oil
5. Scoop 1/4 of batter onto griddle
6. Cook 1-2 minutes on each side""",0,15,2
21,Mango Smoothie Bowl,"Throw your frozen mango and banana into a blender and add a dash of milk. Blend the ingredients together in pulses, slowly adding milk until the chunks disappear and the consistency is like sorbet. Transfer your smoothie to a bowl and add your toppings -- the artsier, the better!",0,10,1
22,Smoothie on the go,"Put all ingredients in the blender and blend for about 30 seconds. Pour freshly made ""Smoothie on the Go"" into glass and enjoy :).",0,4,2
23,Vegan Pad Thai,"""NOODLES
1. Place the noodles in a large bowl and add boiling water to the bowl. 
2. Cover the bowl with a plate and let it sit while preparing the tofu and sauce. 
3. After about 20 minutes, drain and add 1 tbsp of sesame oil to the noodles and mix.

Optional: you can also boil the noodles like you would normally boil noodles. 

SAUCE
1. Add all the sauce ingredients to a pan and mix with a whisk on low heat. Once everything is combined you can turn the heat off and let it sit. 

TOFU/ASSEMBLY
1. Add sesame oil to a pan and add the cubes tofu. 
2. Add a sprinkle of salt on the tofu. (You don’t want to add a lot here because the sauce is already salty because of the soy sauce) 
3. On medium heat cook the tofu until golden brown on each side. 
4. Once golden brown, add the soy sauce to the tofu and mix until the tofu is coated and becomes a darker color. 
5. Place the pan with the sauce on medium heat and add in the cooked noodles and tofu. 
6. Mix until all the sauce is all over the noodles. 
7. Add in the sprouts and sliced carrots and mix once more. 
8. Add cilantro, peanuts, and lime juice on top and enjoy!""",5,25,2
24,A Healthy Apple Crisp!,"""Combine and mix all ingredients to make the topping, and add the coconut oil in slowly, preferably with your hands. Place in fridge. 
Combine all ingredients for the crisp and allow the mixture to soak for about 10 minutes. 
Place the crisp evenly at the bottom of the pan, and pat the topping onto the apples. Bake the crisp at 350 degrees Fahrenheit, for around 40-55 minutes. Vanilla ice cream is an optional topping to this dessert/snack/breakfast! """,5,40,2
25,Handvo (savory cakes) ,"""chop or shred all greens finely

mix with handvo mix above

mix in 1 cup yogurt And all the other ingredients and let sit for 4-6 hours before cooking

Oil muffin tins, pour batter Into each round and then sprinkle sesame seeds on top. If you don’t have muffin tins, grease a 9x13 or 9x9 pan and pour batter in there to bake. 

cook at 350 degrees for 40 minutes or until golden brown

broil on top rack until brown on top…for about 2-3 minutes. Be careful not to burn. 
""",15,40,1
26,Orange tofu,"""Tofu:
1. Wrap the tofu with paper towels, place something heavy on top and leave for about an hour so the water drains out.
2. Cut tofu into bite size pieces.
3. Take a bag or a big bowl add your cut tofu with 2 tbsp of cornstarch and 2 tbsp of olive oil.
4. Shake/mix the bag/bowl and place the tofu evenly on an oven pan and bake it for 400 °F until golden brown. We personally like our tofu to be extra crispy so we kept it in until it‘a golden brownish which about 20-25 minutes.

Orange sauce:
1. In a large pan on medium to low heat add 2 cups of vegetable broth or water, 1 cup of orange juice, 2 tbsp of apple cider vinegar, 4-5 tsp of chili paste, grated ginger, sugar, and 4-5 tsp of soy sauce (adjust the amount according to your sweetness and spice level).
2. In a separate bowl add 2 tbsp of cornstarch and 2 tbsp of water. Mix it well together.
3. Then, add the cornstarch mix to pan and stir it consistently until it thickens.
4. Next, add the baked tofu in the sauce pan and mix it well until the tofu is coated with the sauce.
5. Last but not least, you can serve it with rice, tacos or eat by itself!""",0,20,1
27,Rigatoni with Vodka Sauce (Bon Appetit's recipe),"Boil and salt water. Peel and finely chop onion. Smash garlic cloves and grate Parmesan Cheese. Sautée olive oil, garlic, and onion for 5-7min over medium heat. Add tomato paste and pepper flakes to onion and garlic. Deglaze with vodka and incorporate, reducing heat to low. Mix heavy cream with 1/4 cup boiling water to preheat it, then add to pan with onion garlic and tomato paste. Stir until sauce thickens. Cook pasta to al dente and then transfer to sauce pan. Mix in more Parmesan cheese, and add more pasta water to thin sauce if necessary. Serve in a bowl, and drizzle with oil / garnish with basil.",10,15,4
