ID,Name,Quantity,Type,,,,
18,extra virgin olive oil,0.666666667,cup,,,,
18,kosher salt,,,,,,
18,freshly ground pepper,,,,,,
18,freshly grated Pecorino cheese,0.5,cup,,,,
19,sweet potato,1,item,,,,
19,olive oil,,,,,,
19,seasoning ,,,,,,
20,flour,1,cup,,,,
20,baking powder,2,tsp,,,,
20,cinnamon,2,tsp,,,,
20,salt,0.25,tsp,,,,
20,maple syrup,2,tbsp,,,,
20,vanilla,1,tsp,,,,
20,unsweetened applesauce,0.25,cup,,,,
20,dairy-free milk,1,cup,,,,
21,mango,1,item,,,,
21,diced frozen bananas,0.75,item,,,,
21,milk,0.25,cup,,,,
21,chia seeds,,,,,,
21,fresh fruit,,,,,,
21,grated coconut,,,,,,
21,chopped almond,,,,,,
21,granola,,,,,,
21,nut butter,,,,,,
21,chocolate chips,,,,,,
22,bananas,2,item,,,,
22,frozen mango,1,cup,,,,
22,frozen strawberries,1,cup,,,,
22,frozen blackberries,0.5,cup,,,,
22,froxen blueberries,0.5,cup,,,,
22,chopped apples,1,cup,,,,
22,chia seeds,2,tbsp,,,,
22,oat milk,2,cup,,,,
23,tanarind paste,1,tsp,,,,
23,soy cauce,0.166666667,cup,,,,
23,brown sugar,3,tbsp,,,,
23,Sambal chili sauce,0.5,item,,,,
23,lime juice,1,tbsp,,,,
23,rice vinegar,1,tsp,,,,
23,cubed extra firm tofu,1,cup,,,,
23,sesame oil,1,tbsp,,,,
23,soy sauce,0.5,tbsp,,,,
23,Pad Thai rice noodles,,,,,,
23,boiling water,,,,,,
23,sesame oil,1,tbsp,,,,
23,shredded carrots,,,,,,
23,bean sprouts,,,,,,
23,crushed peanuts,,,,,,
23,fresh lime,,,,,,
23,cilantro,,,,,,
24,almond flour,0.166666667,cup,,,,
24,old fashioned rolled oats,0.25,cup,,,,
24,cocunut sugar,0.166666667,cup,,,,
24,chopped pecans,0.25,cup,,,,
24,cocunut oil,0.125,cup,,,,
24,cinnamon,1,pinch,,,,
24,salt,1,pinch,,,,
24,red or granny smoth apples,4,item,,,,
24,maple syrup,0.166666667,cup,,,,
24,pure vanilla extracct,2,tsp,,,,
24,cinnamon,1,dash,,,,
24,nutmeg,1,dash,,,,
25,handvo flour,3,cup,,,,
25,oil,0.5,cup,,,,
25,yogurt,1,cup,,,,
25,haldi (tumeric) powder,2,tsp,,,,
25,dhana jeeru (cumin coriander) powder,2,tsp,,,,
25,pink himalayan salt,3,tsp,,,,
25,crushed ajmo,2,spoon,,,,
25,thinly chopped baby spinach ,1,lb,,,,
25,shredded cmall cabbage ,0.25,item,,,,
26,firm tofu,1,box,,,,
26,corn starch,2,tbsp,,,,
26,water,2,tbsp,,,,
26,olive oil,2,tbsp,,,,
26,fresh orange juice,1,cup,,,,
26,sugar,0.5,cup,,,,
26,vegetable broth,2,cup,,,,
26,apple cider vinegar,2,tbsp,,,,
26,chilli paste,4,tsp,,,,
26,soy sauce,4,tsp,,,,
26,ginger,0.25,tsp,,,,
27,salt,,,,,,
27,onion,1,item,,,,
27,garlic,4,clove,,,,
27,parmesan cheese,4,oz,,,,
27,extra vrigin olive oil,2,tbsp,,,,
27,tomato paste,4.5,oz,,,,
27,red pepper flakes,0.5,tsp,,,,
27,vodka,2,oz,,,,
27,heavy cream,0.75,cup,,,,
27,rigatoni pasta,1,lb,,,,
27,basil leaves,,,,,,
